	postcode	confirmed_cases_count
0	2000	0.30007975541672205
1	2007	0.07656520005317027
2	2008	0.107957818246267
3	2009	0.11336346315742833
4	2010	0.2548850192742257
5	2011	0.1576277194381674
6	2015	0.11646506269661926
7	2016	0.13726793389162126
8	2017	0.26866498294120256
9	2018	0.18514333820727547
10	2019	0.13899596792059904
11	2020	0.22448934379015464
12	2021	0.13217244893437902
13	2022	0.12794098099162568
14	2023	0.09617173999734148
15	2024	0.10747042403296557
16	2025	0.06189906508928176
17	2026	0.31950906110151095
18	2027	0.060591962426337014
19	2028	0.0401214054676769
20	2029	0.09978288803225664
21	2030	0.13463157428330896
22	2031	0.33492844166777436
23	2032	0.1435375958172715
24	2033	0.1134742345695423
25	2034	0.20572466657804953
26	2035	0.3525189419114715
27	2036	0.3294341796269219
28	2037	0.15716247950728876
29	2038	0.09315875758784173
30	2039	0.08392042181753732
31	2040	0.23550002215428242
32	2041	0.14568656121228232
33	2042	0.20260091275643582
34	2043	0.10268509902964243
35	2044	0.08615800434223936
36	2045	0.06712747574106075
37	2046	0.26024635562054144
38	2047	0.1120342062120608
39	2048	0.07898001683725464
40	2049	0.12927023793699322
41	2050	0.09362399751872037
42	2060	0.12368735876644955
43	2061	0.047831095750808635
44	2062	0.06652931011564535
45	2063	0.05866453985555408
46	2064	0.08451858744295272
47	2065	0.28337542646993663
48	2066	0.3260002658513891
49	2067	0.23228765120297754
50	2068	0.1636758385395897
51	2069	0.13635960831228677
52	2070	0.13764455669280873
53	2071	0.12421906154459657
54	2072	0.07946741105055607
55	2073	0.16349860428020738
56	2074	0.2093358146129647
57	2075	0.201515352917719
58	2076	0.22561921219371706
59	2077	0.36915680801098855
60	2079	0.07745137135008197
61	2080	0.016150471886215604
62	2081	0.04924896982586734
63	2082	0.05192963799902521
64	2083	0.011786078248925518
65	2084	0.03420621206079135
66	2085	0.11387301165315256
67	2086	0.1414994018343746
68	2087	0.1269661925650228
69	2088	0.2341043023616465
70	2089	0.09663697992822012
71	2090	0.11323053746289158
72	2092	0.06967521821968187
73	2093	0.22818910895476097
74	2094	0.05605033452966458
75	2095	0.1475253666533741
76	2096	0.13948336213390047
77	2097	0.15669723957641013
78	2099	0.41590234392308034
79	2100	0.22355886392839736
80	2101	0.17944968762461783
81	2102	0.079688953874784
82	2103	0.09597235145553636
83	2104	0.028202401524214632
84	2105	0.014710443528734104
85	2106	0.08334441047454473
86	2107	0.13095396340112544
87	2108	0.013071026629447473
88	2110	0.08921529531658469
89	2111	0.15208914883246932
90	2112	0.3484425539456777
91	2113	0.28831583145021933
92	2114	0.23233195976782312
93	2115	0.11238867473082546
94	2116	0.06650715583322256
95	2117	0.20915858035358234
96	2118	0.24894767158491737
97	2119	0.11498072577429216
98	2120	0.2035092383357703
99	2121	0.31569852452479064
100	2122	0.27440294208870575
101	2124	2.2154282422792325e-05
102	2125	0.16221365589968542
103	2126	0.18115556737117286
104	2127	0.21206079135096814
105	2128	0.021733351056759272
106	2130	0.07481501174176969
107	2131	0.2277903318711507
108	2132	0.10700518410208694
109	2133	0.10439097877619744
110	2134	0.17944968762461783
111	2135	0.2542425450839647
112	2136	0.07629934866409677
113	2137	0.266804023217688
114	2138	0.177832425007754
115	2140	0.1983251362488369
116	2141	0.31044795959058885
117	2142	0.2585183215915636
118	2143	0.0886171296911693
119	2144	0.36997651646063184
120	2145	0.7908857282112632
121	2146	0.18082325313483097
122	2147	0.3496610394789313
123	2148	0.6612831760379281
124	2150	0.3015197837742036
125	2151	0.1939828968939696
126	2152	0.10904337808498382
127	2153	0.591209180734636
128	2154	0.3812973547786787
129	2155	0.777150073109132
130	2156	0.11571181709424432
131	2157	0.03369666356506713
132	2158	0.07499224600115202
133	2159	0.04038725685675041
134	2160	0.3471132970003102
135	2161	0.30958394257609995
136	2162	0.17845274491559218
137	2163	0.08555983871682396
138	2164	0.18602950950418715
139	2165	0.3746953786166866
140	2166	0.40943329345562496
141	2167	0.09674775134033409
142	2168	0.39512162701050113
143	2170	1.0
144	2171	0.354069741681067
145	2172	0.03019628694226594
146	2173	0.14940848065931145
147	2174	0.12257964464530993
148	2175	0.014178740750587088
149	2176	0.42079844033851743
150	2177	0.14395852718330454
151	2178	0.030816606850104126
152	2179	0.16516017546191678
153	2190	0.2363861934511941
154	2191	0.06260800212681111
155	2192	0.1348309628251141
156	2193	0.16868270636714078
157	2194	0.2341264566440693
158	2195	0.23569941069608755
159	2196	0.31372679338916215
160	2197	0.08866143825601489
161	2198	0.08812973547786787
162	2199	0.1671762151623909
163	2200	0.41466170410740394
164	2203	0.14300589303912448
165	2204	0.2664495546989233
166	2205	0.2402188843103372
167	2206	0.18547565244361736
168	2207	0.2646772121050999
169	2208	0.12023129070849395
170	2209	0.15598830253888077
171	2210	0.31011564535424696
172	2211	0.163963844211086
173	2212	0.1699898090300855
174	2213	0.22495458372103327
175	2214	0.04324515928929062
176	2216	0.2734281536621029
177	2217	0.268399131552129
178	2218	0.1489875492932784
179	2219	0.11983251362488369
180	2220	0.3129735477867872
181	2221	0.1602197704816341
182	2222	0.11923434799946829
183	2223	0.1971066507155833
184	2224	0.13230537462891576
185	2225	0.05811068279498427
186	2226	0.13022287208117328
187	2227	0.15157960033674509
188	2228	0.20794009482032877
189	2229	0.2998360583100713
190	2230	0.2974433958084098
191	2231	0.023217687979086358
192	2232	0.34620497142097567
193	2233	0.32004076387965796
194	2234	0.3152997474411804
195	2250	0.6352297399087243
196	2251	0.3005228410651779
197	2256	0.1376667109752315
198	2257	0.2629270237936993
